Country,League,Season,Home,Away,HG,AG
Chile,Primera División,2023,Colo-Colo,Universidad de Chile,2,2
Chile,Primera División,2023,Colo-Colo,Universidad Católica,2,1
Chile,Primera División,2023,Colo-Colo,Coquimbo Unido,2,1
Chile,Primera División,2023,Colo-Colo,Cobresal,0,2
Chile,Primera División,2023,Colo-Colo,Palestino,0,0
Chile,Primera División,2023,Colo-Colo,Huachipato,1,0
Chile,Primera División,2023,Colo-Colo,Everton de Viña,3,1
Chile,Primera División,2023,Colo-Colo,Unión Española,3,0
Chile,Primera División,2023,Colo-Colo,Audax Italiano,1,0
Chile,Primera División,2023,Colo-Colo,O'Higgins,5,0
Chile,Primera División,2023,Colo-Colo,Ñublense,2,0
Chile,Primera División,2023,Colo-Colo,Unión La Calera,0,0
Chile,Primera División,2023,Colo-Colo,Deportes Iquique,2,2
Chile,Primera División,2023,Colo-Colo,Cobreloa,4,1
Chile,Primera División,2023,Colo-Colo,Deportes La Serena,1,0
Chile,Primera División,2023,Universidad de Chile,Colo-Colo,2,0
Chile,Primera División,2023,Universidad de Chile,Universidad Católica,2,1
Chile,Primera División,2023,Universidad de Chile,Coquimbo Unido,1,1
Chile,Primera División,2023,Universidad de Chile,Cobresal,1,1
Chile,Primera División,2023,Universidad de Chile,Palestino,1,0
Chile,Primera División,2023,Universidad de Chile,Huachipato,3,0
Chile,Primera División,2023,Universidad de Chile,Everton de Viña,4,0
Chile,Primera División,2023,Universidad de Chile,Unión Española,4,1
Chile,Primera División,2023,Universidad de Chile,Audax Italiano,3,1
Chile,Primera División,2023,Universidad de Chile,O'Higgins,2,0
Chile,Primera División,2023,Universidad de Chile,Ñublense,3,1
Chile,Primera División,2023,Universidad de Chile,Unión La Calera,5,0
Chile,Primera División,2023,Universidad de Chile,Deportes Iquique,0,0
Chile,Primera División,2023,Universidad de Chile,Cobreloa,11,1
Chile,Primera División,2023,Universidad de Chile,Deportes La Serena,2,1
Chile,Primera División,2023,Universidad Católica,Colo-Colo,2,3
Chile,Primera División,2023,Universidad Católica,Universidad de Chile,0,0
Chile,Primera División,2023,Universidad Católica,Coquimbo Unido,3,1
Chile,Primera División,2023,Universidad Católica,Cobresal,1,0
Chile,Primera División,2023,Universidad Católica,Palestino,1,1
Chile,Primera División,2023,Universidad Católica,Huachipato,4,0
Chile,Primera División,2023,Universidad Católica,Everton de Viña,4,2
Chile,Primera División,2023,Universidad Católica,Unión Española,0,0
Chile,Primera División,2023,Universidad Católica,Audax Italiano,4,1
Chile,Primera División,2023,Universidad Católica,O'Higgins,3,1
Chile,Primera División,2023,Universidad Católica,Ñublense,1,0
Chile,Primera División,2023,Universidad Católica,Unión La Calera,2,0
Chile,Primera División,2023,Universidad Católica,Deportes Iquique,4,0
Chile,Primera División,2023,Universidad Católica,Cobreloa,3,0
Chile,Primera División,2023,Universidad Católica,Deportes La Serena,5,0
Chile,Primera División,2023,Coquimbo Unido,Colo-Colo,2,3
Chile,Primera División,2023,Coquimbo Unido,Universidad de Chile,1,1
Chile,Primera División,2023,Coquimbo Unido,Universidad Católica,0,1
Chile,Primera División,2023,Coquimbo Unido,Cobresal,0,2
Chile,Primera División,2023,Coquimbo Unido,Palestino,3,0
Chile,Primera División,2023,Coquimbo Unido,Huachipato,1,0
Chile,Primera División,2023,Coquimbo Unido,Everton de Viña,4,1
Chile,Primera División,2023,Coquimbo Unido,Unión Española,3,1
Chile,Primera División,2023,Coquimbo Unido,Audax Italiano,5,0
Chile,Primera División,2023,Coquimbo Unido,O'Higgins,3,1
Chile,Primera División,2023,Coquimbo Unido,Ñublense,2,1
Chile,Primera División,2023,Coquimbo Unido,Unión La Calera,4,3
Chile,Primera División,2023,Coquimbo Unido,Deportes Iquique,3,0
Chile,Primera División,2023,Coquimbo Unido,Cobreloa,4,0
Chile,Primera División,2023,Coquimbo Unido,Deportes La Serena,2,1
Chile,Primera División,2023,Cobresal,Colo-Colo,0,1
Chile,Primera División,2023,Cobresal,Universidad de Chile,3,3
Chile,Primera División,2023,Cobresal,Universidad Católica,2,3
Chile,Primera División,2023,Cobresal,Coquimbo Unido,1,2
Chile,Primera División,2023,Cobresal,Palestino,2,0
Chile,Primera División,2023,Cobresal,Huachipato,0,1
Chile,Primera División,2023,Cobresal,Everton de Viña,3,3
Chile,Primera División,2023,Cobresal,Unión Española,1,1
Chile,Primera División,2023,Cobresal,Audax Italiano,4,1
Chile,Primera División,2023,Cobresal,O'Higgins,3,1
Chile,Primera División,2023,Cobresal,Ñublense,0,1
Chile,Primera División,2023,Cobresal,Unión La Calera,0,0
Chile,Primera División,2023,Cobresal,Deportes Iquique,0,0
Chile,Primera División,2023,Cobresal,Cobreloa,3,2
Chile,Primera División,2023,Cobresal,Deportes La Serena,1,0
Chile,Primera División,2023,Palestino,Colo-Colo,1,2
Chile,Primera División,2023,Palestino,Universidad de Chile,0,0
Chile,Primera División,2023,Palestino,Universidad Católica,2,1
Chile,Primera División,2023,Palestino,Coquimbo Unido,0,0
Chile,Primera División,2023,Palestino,Cobresal,2,0
Chile,Primera División,2023,Palestino,Huachipato,1,0
Chile,Primera División,2023,Palestino,Everton de Viña,2,0
Chile,Primera División,2023,Palestino,Unión Española,1,1
Chile,Primera División,2023,Palestino,Audax Italiano,2,0
Chile,Primera División,2023,Palestino,O'Higgins,3,2
Chile,Primera División,2023,Palestino,Ñublense,0,1
Chile,Primera División,2023,Palestino,Unión La Calera,2,0
Chile,Primera División,2023,Palestino,Deportes Iquique,4,0
Chile,Primera División,2023,Palestino,Cobreloa,3,0
Chile,Primera División,2023,Palestino,Deportes La Serena,2,0
Chile,Primera División,2023,Huachipato,Colo-Colo,0,2
Chile,Primera División,2023,Huachipato,Universidad de Chile,2,0
Chile,Primera División,2023,Huachipato,Universidad Católica,1,1
Chile,Primera División,2023,Huachipato,Coquimbo Unido,2,1
Chile,Primera División,2023,Huachipato,Cobresal,0,0
Chile,Primera División,2023,Huachipato,Palestino,2,1
Chile,Primera División,2023,Huachipato,Everton de Viña,1,0
Chile,Primera División,2023,Huachipato,Unión Española,0,0
Chile,Primera División,2023,Huachipato,Audax Italiano,1,2
Chile,Primera División,2023,Huachipato,O'Higgins,2,0
Chile,Primera División,2023,Huachipato,Ñublense,1,0
Chile,Primera División,2023,Huachipato,Unión La Calera,2,2
Chile,Primera División,2023,Huachipato,Deportes Iquique,2,2
Chile,Primera División,2023,Huachipato,Cobreloa,6,2
Chile,Primera División,2023,Huachipato,Deportes La Serena,4,2
Chile,Primera División,2023,Everton de Viña,Colo-Colo,0,3
Chile,Primera División,2023,Everton de Viña,Universidad de Chile,3,3
Chile,Primera División,2023,Everton de Viña,Universidad Católica,0,1
Chile,Primera División,2023,Everton de Viña,Coquimbo Unido,3,0
Chile,Primera División,2023,Everton de Viña,Cobresal,3,4
Chile,Primera División,2023,Everton de Viña,Palestino,3,1
Chile,Primera División,2023,Everton de Viña,Huachipato,2,1
Chile,Primera División,2023,Everton de Viña,Unión Española,1,1
Chile,Primera División,2023,Everton de Viña,Audax Italiano,1,1
Chile,Primera División,2023,Everton de Viña,O'Higgins,0,1
Chile,Primera División,2023,Everton de Viña,Ñublense,4,1
Chile,Primera División,2023,Everton de Viña,Unión La Calera,0,1
Chile,Primera División,2023,Everton de Viña,Deportes Iquique,1,1
Chile,Primera División,2023,Everton de Viña,Cobreloa,1,0
Chile,Primera División,2023,Everton de Viña,Deportes La Serena,3,2
Chile,Primera División,2023,Unión Española,Colo-Colo,2,0
Chile,Primera División,2023,Unión Española,Universidad de Chile,1,2
Chile,Primera División,2023,Unión Española,Universidad Católica,0,1
Chile,Primera División,2023,Unión Española,Coquimbo Unido,3,0
Chile,Primera División,2023,Unión Española,Cobresal,0,2
Chile,Primera División,2023,Unión Española,Palestino,3,0
Chile,Primera División,2023,Unión Española,Huachipato,0,0
Chile,Primera División,2023,Unión Española,Everton de Viña,2,3
Chile,Primera División,2023,Unión Española,Audax Italiano,0,2
Chile,Primera División,2023,Unión Española,O'Higgins,2,0
Chile,Primera División,2023,Unión Española,Ñublense,1,1
Chile,Primera División,2023,Unión Española,Unión La Calera,2,1
Chile,Primera División,2023,Unión Española,Deportes Iquique,3,2
Chile,Primera División,2023,Unión Española,Cobreloa,2,0
Chile,Primera División,2023,Unión Española,Deportes La Serena,1,0
Chile,Primera División,2023,Audax Italiano,Colo-Colo,0,0
Chile,Primera División,2023,Audax Italiano,Universidad de Chile,1,3
Chile,Primera División,2023,Audax Italiano,Universidad Católica,1,1
Chile,Primera División,2023,Audax Italiano,Coquimbo Unido,1,4
Chile,Primera División,2023,Audax Italiano,Cobresal,1,1
Chile,Primera División,2023,Audax Italiano,Palestino,5,2
Chile,Primera División,2023,Audax Italiano,Huachipato,2,3
Chile,Primera División,2023,Audax Italiano,Everton de Viña,1,0
Chile,Primera División,2023,Audax Italiano,Unión Española,1,2
Chile,Primera División,2023,Audax Italiano,O'Higgins,2,1
Chile,Primera División,2023,Audax Italiano,Ñublense,1,1
Chile,Primera División,2023,Audax Italiano,Unión La Calera,4,0
Chile,Primera División,2023,Audax Italiano,Deportes Iquique,0,0
Chile,Primera División,2023,Audax Italiano,Cobreloa,2,1
Chile,Primera División,2023,Audax Italiano,Deportes La Serena,1,4
Chile,Primera División,2023,O'Higgins,Colo-Colo,0,2
Chile,Primera División,2023,O'Higgins,Universidad de Chile,2,2
Chile,Primera División,2023,O'Higgins,Universidad Católica,2,0
Chile,Primera División,2023,O'Higgins,Coquimbo Unido,0,2
Chile,Primera División,2023,O'Higgins,Cobresal,1,2
Chile,Primera División,2023,O'Higgins,Palestino,2,0
Chile,Primera División,2023,O'Higgins,Huachipato,1,2
Chile,Primera División,2023,O'Higgins,Everton de Viña,2,0
Chile,Primera División,2023,O'Higgins,Unión Española,0,4
Chile,Primera División,2023,O'Higgins,Audax Italiano,2,0
Chile,Primera División,2023,O'Higgins,Ñublense,4,1
Chile,Primera División,2023,O'Higgins,Unión La Calera,2,1
Chile,Primera División,2023,O'Higgins,Deportes Iquique,0,0
Chile,Primera División,2023,O'Higgins,Cobreloa,3,1
Chile,Primera División,2023,O'Higgins,Deportes La Serena,4,1
Chile,Primera División,2023,Ñublense,Colo-Colo,0,2
Chile,Primera División,2023,Ñublense,Universidad de Chile,0,2
Chile,Primera División,2023,Ñublense,Universidad Católica,0,2
Chile,Primera División,2023,Ñublense,Coquimbo Unido,3,0
Chile,Primera División,2023,Ñublense,Cobresal,2,1
Chile,Primera División,2023,Ñublense,Palestino,1,1
Chile,Primera División,2023,Ñublense,Huachipato,2,2
Chile,Primera División,2023,Ñublense,Everton de Viña,0,0
Chile,Primera División,2023,Ñublense,Unión Española,1,1
Chile,Primera División,2023,Ñublense,Audax Italiano,0,1
Chile,Primera División,2023,Ñublense,O'Higgins,1,0
Chile,Primera División,2023,Ñublense,Unión La Calera,2,0
Chile,Primera División,2023,Ñublense,Deportes Iquique,2,3
Chile,Primera División,2023,Ñublense,Cobreloa,4,0
Chile,Primera División,2023,Ñublense,Deportes La Serena,2,1
Chile,Primera División,2023,Unión La Calera,Colo-Colo,2,1
Chile,Primera División,2023,Unión La Calera,Universidad de Chile,0,1
Chile,Primera División,2023,Unión La Calera,Universidad Católica,1,4
Chile,Primera División,2023,Unión La Calera,Coquimbo Unido,0,0
Chile,Primera División,2023,Unión La Calera,Cobresal,0,2
Chile,Primera División,2023,Unión La Calera,Palestino,0,1
Chile,Primera División,2023,Unión La Calera,Huachipato,3,0
Chile,Primera División,2023,Unión La Calera,Everton de Viña,1,0
Chile,Primera División,2023,Unión La Calera,Unión Española,1,0
Chile,Primera División,2023,Unión La Calera,Audax Italiano,1,2
Chile,Primera División,2023,Unión La Calera,O'Higgins,0,1
Chile,Primera División,2023,Unión La Calera,Ñublense,1,0
Chile,Primera División,2023,Unión La Calera,Deportes Iquique,2,1
Chile,Primera División,2023,Unión La Calera,Cobreloa,1,1
Chile,Primera División,2023,Unión La Calera,Deportes La Serena,3,1
Chile,Primera División,2023,Deportes Iquique,Colo-Colo,2,2
Chile,Primera División,2023,Deportes Iquique,Universidad de Chile,0,3
Chile,Primera División,2023,Deportes Iquique,Universidad Católica,0,5
Chile,Primera División,2023,Deportes Iquique,Coquimbo Unido,0,2
Chile,Primera División,2023,Deportes Iquique,Cobresal,2,3
Chile,Primera División,2023,Deportes Iquique,Palestino,1,0
Chile,Primera División,2023,Deportes Iquique,Huachipato,0,4
Chile,Primera División,2023,Deportes Iquique,Everton de Viña,2,0
Chile,Primera División,2023,Deportes Iquique,Unión Española,3,1
Chile,Primera División,2023,Deportes Iquique,Audax Italiano,0,1
Chile,Primera División,2023,Deportes Iquique,O'Higgins,4,1
Chile,Primera División,2023,Deportes Iquique,Ñublense,1,0
Chile,Primera División,2023,Deportes Iquique,Unión La Calera,0,3
Chile,Primera División,2023,Deportes Iquique,Cobreloa,3,0
Chile,Primera División,2023,Deportes Iquique,Deportes La Serena,2,1
Chile,Primera División,2023,Cobreloa,Colo-Colo,0,4
Chile,Primera División,2023,Cobreloa,Universidad de Chile,0,4
Chile,Primera División,2023,Cobreloa,Universidad Católica,3,1
Chile,Primera División,2023,Cobreloa,Coquimbo Unido,0,1
Chile,Primera División,2023,Cobreloa,Cobresal,2,1
Chile,Primera División,2023,Cobreloa,Palestino,0,2
Chile,Primera División,2023,Cobreloa,Huachipato,2,0
Chile,Primera División,2023,Cobreloa,Everton de Viña,2,0
Chile,Primera División,2023,Cobreloa,Unión Española,3,3
Chile,Primera División,2023,Cobreloa,Audax Italiano,0,1
Chile,Primera División,2023,Cobreloa,O'Higgins,2,0
Chile,Primera División,2023,Cobreloa,Ñublense,0,0
Chile,Primera División,2023,Cobreloa,Unión La Calera,2,0
Chile,Primera División,2023,Cobreloa,Deportes Iquique,2,2
