Country,League,Season,Home,Away,HG,AG
Colombia,Primera A,2023,Atlético Bucaramanga,Envigado FC,0,0
Colombia,Primera A,2023,Unión Magdalena,Atlético Huila,2,1
Colombia,Primera A,2023,Águilas Doradas,Atlético Junior,1,1
Colombia,Primera A,2023,Boyacá Chicó,Alianza Petrolera,2,0
Colombia,Primera A,2023,Deportes Tolima,América de Cali,2,1
Colombia,Primera A,2023,Atlético Nacional,Once Caldas,1,0
Colombia,Primera A,2023,Jaguares de Córdoba,Santa Fe,2,2
Colombia,Primera A,2023,La Equidad,Independiente Medellín,2,1
Colombia,Primera A,2023,Deportivo Cali,Deportivo Pereira,0,1
Colombia,Primera A,2023,Millonarios,Deportivo Pasto,2,0
Colombia,Primera A,2023,Envigado FC,La Equidad,1,1
Colombia,Primera A,2023,Atlético Huila,Atlético Bucaramanga,1,2
Colombia,Primera A,2023,Atlético Nacional,Águilas Doradas,0,0
Colombia,Primera A,2023,Deportivo Pereira,Millonarios,2,3
Colombia,Primera A,2023,Atlético Junior,Independiente Medellín,1,1
Colombia,Primera A,2023,Once Caldas,Deportes Tolima,1,1
Colombia,Primera A,2023,Boyacá Chicó,Jaguares de Córdoba,1,0
Colombia,Primera A,2023,América de Cali,Unión Magdalena,4,0
Colombia,Primera A,2023,Alianza Petrolera,Deportivo Pasto,3,1
Colombia,Primera A,2023,Santa Fe,Deportivo Cali,3,0
Colombia,Primera A,2023,Deportivo Pereira,Atlético Huila,2,1
Colombia,Primera A,2023,Independiente Medellín,Santa Fe,1,1
Colombia,Primera A,2023,Jaguares de Córdoba,Atlético Nacional,2,1
Colombia,Primera A,2023,Deportivo Pasto,América de Cali,2,4
Colombia,Primera A,2023,Deportivo Cali,Once Caldas,0,0
Colombia,Primera A,2023,Atlético Bucaramanga,Atlético Junior,1,0
Colombia,Primera A,2023,Unión Magdalena,Envigado FC,1,1
Colombia,Primera A,2023,Águilas Doradas,Deportes Tolima,4,2
Colombia,Primera A,2023,La Equidad,Boyacá Chicó,2,2
Colombia,Primera A,2023,Millonarios,Alianza Petrolera,3,1
Colombia,Primera A,2023,Atlético Junior,Unión Magdalena,0,0
Colombia,Primera A,2023,Alianza Petrolera,Atlético Huila,2,0
Colombia,Primera A,2023,Jaguares de Córdoba,Atlético Bucaramanga,1,1
Colombia,Primera A,2023,Envigado FC,Independiente Medellín,2,1
Colombia,Primera A,2023,Once Caldas,Águilas Doradas,1,2
Colombia,Primera A,2023,América de Cali,La Equidad,1,1
Colombia,Primera A,2023,Boyacá Chicó,Deportivo Pereira,3,1
