Country,League,Season,Home,Away,HG,AG
Perú,Liga 1,2023,Universitario,Alianza Lima,2,0
Perú,Liga 1,2023,Universitario,Sporting Cristal,1,2
Perú,Liga 1,2023,Universitario,Melgar,2,0
Perú,Liga 1,2023,Universitario,Cusco FC,1,1
Perú,Liga 1,2023,Universitario,Cienciano,2,0
Perú,Liga 1,2023,Universitario,Sport Huancayo,9,1
Perú,Liga 1,2023,Universitario,Deportivo Garcilaso,1,1
Perú,Liga 1,2023,Universitario,ADT,1,2
Perú,Liga 1,2023,Universitario,Atlético Grau,7,0
Perú,Liga 1,2023,Universitario,César Vallejo,0,0
Perú,Liga 1,2023,Universitario,Sport Boys,1,0
Perú,Liga 1,2023,Universitario,Alianza Atlético,4,1
Perú,Liga 1,2023,Universitario,UTC Cajamarca,2,0
Perú,Liga 1,2023,Universitario,Juan Pablo II,3,0
Perú,Liga 1,2023,Universitario,Los Chankas,0,0
Perú,Liga 1,2023,Universitario,Ayacucho FC,3,2
Perú,Liga 1,2023,Universitario,Comerciantes Unidos,2,0
Perú,Liga 1,2023,Alianza Lima,Universitario,1,1
Perú,Liga 1,2023,Alianza Lima,Sporting Cristal,4,0
Perú,Liga 1,2023,Alianza Lima,Melgar,2,2
Perú,Liga 1,2023,Alianza Lima,Cusco FC,2,1
Perú,Liga 1,2023,Alianza Lima,Cienciano,1,1
Perú,Liga 1,2023,Alianza Lima,Sport Huancayo,2,0
Perú,Liga 1,2023,Alianza Lima,Deportivo Garcilaso,5,0
Perú,Liga 1,2023,Alianza Lima,ADT,0,0
Perú,Liga 1,2023,Alianza Lima,Atlético Grau,2,1
Perú,Liga 1,2023,Alianza Lima,César Vallejo,2,1
Perú,Liga 1,2023,Alianza Lima,Sport Boys,2,0
Perú,Liga 1,2023,Alianza Lima,Alianza Atlético,1,0
Perú,Liga 1,2023,Alianza Lima,UTC Cajamarca,0,0
Perú,Liga 1,2023,Alianza Lima,Juan Pablo II,1,0
Perú,Liga 1,2023,Alianza Lima,Los Chankas,3,0
Perú,Liga 1,2023,Alianza Lima,Ayacucho FC,5,0
Perú,Liga 1,2023,Alianza Lima,Comerciantes Unidos,3,0
Perú,Liga 1,2023,Sporting Cristal,Universitario,0,0
Perú,Liga 1,2023,Sporting Cristal,Alianza Lima,2,1
Perú,Liga 1,2023,Sporting Cristal,Melgar,2,0
Perú,Liga 1,2023,Sporting Cristal,Cusco FC,1,0
Perú,Liga 1,2023,Sporting Cristal,Cienciano,2,3
Perú,Liga 1,2023,Sporting Cristal,Sport Huancayo,4,1
Perú,Liga 1,2023,Sporting Cristal,Deportivo Garcilaso,1,2
Perú,Liga 1,2023,Sporting Cristal,ADT,2,0
Perú,Liga 1,2023,Sporting Cristal,Atlético Grau,4,0
Perú,Liga 1,2023,Sporting Cristal,César Vallejo,1,0
Perú,Liga 1,2023,Sporting Cristal,Sport Boys,7,0
Perú,Liga 1,2023,Sporting Cristal,Alianza Atlético,2,0
Perú,Liga 1,2023,Sporting Cristal,UTC Cajamarca,2,0
Perú,Liga 1,2023,Sporting Cristal,Juan Pablo II,3,0
Perú,Liga 1,2023,Sporting Cristal,Los Chankas,2,0
Perú,Liga 1,2023,Sporting Cristal,Ayacucho FC,2,0
