Country,League,Season,Home,Away,HG,AG
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Nassr,2,2
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Ittihad,0,1
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Ahli,1,0
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Qadsiah,0,0
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Shabab,4,0
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Ettifaq,3,1
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Taawoun,2,0
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Fateh,4,0
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Damac,3,0
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Fayha,2,1
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Khaleej,4,0
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Riyadh,1,1
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Wehda,3,0
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Raed,1,0
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Okhdood,5,0
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Hazem,3,0
Arabia Saudita,Saudi Pro League,2023,Al-Hilal,Al-Orobah,2,0
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Hilal,1,1
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Ittihad,3,0
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Ahli,1,0
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Qadsiah,1,2
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Shabab,3,2
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Ettifaq,0,2
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Taawoun,3,2
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Fateh,4,3
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Damac,5,1
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Fayha,1,0
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Khaleej,1,2
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Riyadh,2,0
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Wehda,2,1
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Raed,4,0
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Okhdood,1,0
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Hazem,1,0
Arabia Saudita,Saudi Pro League,2023,Al-Nassr,Al-Orobah,5,0
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Hilal,1,0
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Nassr,0,1
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Ahli,3,3
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Qadsiah,3,0
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Shabab,3,1
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Ettifaq,3,0
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Taawoun,4,1
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Fateh,3,0
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Damac,0,0
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Fayha,1,0
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Khaleej,1,0
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Riyadh,3,0
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Wehda,3,1
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Raed,1,0
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Okhdood,4,0
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Hazem,0,0
Arabia Saudita,Saudi Pro League,2023,Al-Ittihad,Al-Orobah,5,0
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Hilal,0,0
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Nassr,1,2
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Ittihad,0,1
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Qadsiah,3,0
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Shabab,1,0
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Ettifaq,0,0
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Taawoun,1,2
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Fateh,2,1
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Damac,5,2
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Fayha,2,1
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Khaleej,3,1
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Riyadh,1,0
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Wehda,3,0
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Raed,5,1
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Okhdood,2,1
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Hazem,1,1
Arabia Saudita,Saudi Pro League,2023,Al-Ahli,Al-Orobah,5,0
Arabia Saudita,Saudi Pro League,2023,Al-Qadsiah,Al-Hilal,0,2
Arabia Saudita,Saudi Pro League,2023,Al-Qadsiah,Al-Nassr,3,4
Arabia Saudita,Saudi Pro League,2023,Al-Qadsiah,Al-Ittihad,2,2
Arabia Saudita,Saudi Pro League,2023,Al-Qadsiah,Al-Ahli,0,4
