Country,League,Season,Home,Away,HG,AG
Uruguay,Primera División,2023,Peñarol,Nacional,0,3
Uruguay,Primera División,2023,Peñarol,Defensor Sporting,0,0
Uruguay,Primera División,2023,Peñarol,Liverpool de Montevideo,1,0
Uruguay,Primera División,2023,Peñarol,Danubio,0,1
Uruguay,Primera División,2023,Peñarol,River Plate Montevideo,4,0
Uruguay,Primera División,2023,Peñarol,Montevideo Wanderers,1,0
Uruguay,Primera División,2023,Peñarol,Boston River,0,0
Uruguay,Primera División,2023,Peñarol,Cerro Largo,0,3
Uruguay,Primera División,2023,Peñarol,Racing de Montevideo,2,0
Uruguay,Primera División,2023,Peñarol,Montevideo City Torque,3,1
Uruguay,Primera División,2023,Peñarol,Cerro,1,0
Uruguay,Primera División,2023,Peñarol,Fénix,3,0
Uruguay,Primera División,2023,Peñarol,Progreso,3,1
Uruguay,Primera División,2023,Peñarol,Juventud de Las Piedras,2,0
Uruguay,Primera División,2023,Peñarol,Plaza Colonia,6,1
Uruguay,Primera División,2023,Nacional,Peñarol,1,3
Uruguay,Primera División,2023,Nacional,Defensor Sporting,1,1
Uruguay,Primera División,2023,Nacional,Liverpool de Montevideo,0,0
Uruguay,Primera División,2023,Nacional,Danubio,0,1
Uruguay,Primera División,2023,Nacional,River Plate Montevideo,2,0
Uruguay,Primera División,2023,Nacional,Montevideo Wanderers,0,0
Uruguay,Primera División,2023,Nacional,Boston River,2,0
Uruguay,Primera División,2023,Nacional,Cerro Largo,4,1
Uruguay,Primera División,2023,Nacional,Racing de Montevideo,4,0
Uruguay,Primera División,2023,Nacional,Montevideo City Torque,3,0
Uruguay,Primera División,2023,Nacional,Cerro,3,0
Uruguay,Primera División,2023,Nacional,Fénix,3,0
Uruguay,Primera División,2023,Nacional,Progreso,1,0
Uruguay,Primera División,2023,Nacional,Juventud de Las Piedras,3,0
Uruguay,Primera División,2023,Nacional,Plaza Colonia,1,0
Uruguay,Primera División,2023,Defensor Sporting,Peñarol,1,2
Uruguay,Primera División,2023,Defensor Sporting,Nacional,0,3
Uruguay,Primera División,2023,Defensor Sporting,Liverpool de Montevideo,3,3
Uruguay,Primera División,2023,Defensor Sporting,Danubio,0,0
Uruguay,Primera División,2023,Defensor Sporting,River Plate Montevideo,1,0
Uruguay,Primera División,2023,Defensor Sporting,Montevideo Wanderers,4,1
Uruguay,Primera División,2023,Defensor Sporting,Boston River,5,1
Uruguay,Primera División,2023,Defensor Sporting,Cerro Largo,1,0
Uruguay,Primera División,2023,Defensor Sporting,Racing de Montevideo,1,0
Uruguay,Primera División,2023,Defensor Sporting,Montevideo City Torque,2,1
Uruguay,Primera División,2023,Defensor Sporting,Cerro,2,0
Uruguay,Primera División,2023,Defensor Sporting,Fénix,1,2
Uruguay,Primera División,2023,Defensor Sporting,Progreso,3,0
Uruguay,Primera División,2023,Defensor Sporting,Juventud de Las Piedras,2,1
Uruguay,Primera División,2023,Defensor Sporting,Plaza Colonia,1,0
Uruguay,Primera División,2023,Liverpool de Montevideo,Peñarol,3,1
Uruguay,Primera División,2023,Liverpool de Montevideo,Nacional,2,1
Uruguay,Primera División,2023,Liverpool de Montevideo,Defensor Sporting,1,3
Uruguay,Primera División,2023,Liverpool de Montevideo,Danubio,1,0
Uruguay,Primera División,2023,Liverpool de Montevideo,River Plate Montevideo,0,0
Uruguay,Primera División,2023,Liverpool de Montevideo,Montevideo Wanderers,3,0
Uruguay,Primera División,2023,Liverpool de Montevideo,Boston River,5,1
Uruguay,Primera División,2023,Liverpool de Montevideo,Cerro Largo,4,0
Uruguay,Primera División,2023,Liverpool de Montevideo,Racing de Montevideo,2,0
Uruguay,Primera División,2023,Liverpool de Montevideo,Montevideo City Torque,1,0
Uruguay,Primera División,2023,Liverpool de Montevideo,Cerro,2,0
Uruguay,Primera División,2023,Liverpool de Montevideo,Fénix,2,0
Uruguay,Primera División,2023,Liverpool de Montevideo,Progreso,3,1
Uruguay,Primera División,2023,Liverpool de Montevideo,Juventud de Las Piedras,1,0
Uruguay,Primera División,2023,Liverpool de Montevideo,Plaza Colonia,1,0
Uruguay,Primera División,2023,Danubio,Peñarol,1,0
Uruguay,Primera División,2023,Danubio,Nacional,1,1
Uruguay,Primera División,2023,Danubio,Defensor Sporting,2,0
Uruguay,Primera División,2023,Danubio,Liverpool de Montevideo,1,4
Uruguay,Primera División,2023,Danubio,River Plate Montevideo,2,4
Uruguay,Primera División,2023,Danubio,Montevideo Wanderers,0,0
Uruguay,Primera División,2023,Danubio,Boston River,0,1
Uruguay,Primera División,2023,Danubio,Cerro Largo,2,0
Uruguay,Primera División,2023,Danubio,Racing de Montevideo,2,1
Uruguay,Primera División,2023,Danubio,Montevideo City Torque,2,1
Uruguay,Primera División,2023,Danubio,Cerro,2,1
Uruguay,Primera División,2023,Danubio,Fénix,0,0
Uruguay,Primera División,2023,Danubio,Progreso,2,1
Uruguay,Primera División,2023,Danubio,Juventud de Las Piedras,1,0
Uruguay,Primera División,2023,Danubio,Plaza Colonia,2,0
Uruguay,Primera División,2023,River Plate Montevideo,Peñarol,1,3
Uruguay,Primera División,2023,River Plate Montevideo,Nacional,0,2
Uruguay,Primera División,2023,River Plate Montevideo,Defensor Sporting,0,0
Uruguay,Primera División,2023,River Plate Montevideo,Liverpool de Montevideo,1,4
Uruguay,Primera División,2023,River Plate Montevideo,Danubio,0,1
Uruguay,Primera División,2023,River Plate Montevideo,Montevideo Wanderers,0,0
Uruguay,Primera División,2023,River Plate Montevideo,Boston River,1,1
Uruguay,Primera División,2023,River Plate Montevideo,Cerro Largo,1,1
Uruguay,Primera División,2023,River Plate Montevideo,Racing de Montevideo,1,0
Uruguay,Primera División,2023,River Plate Montevideo,Montevideo City Torque,4,1
Uruguay,Primera División,2023,River Plate Montevideo,Cerro,2,2
Uruguay,Primera División,2023,River Plate Montevideo,Fénix,5,1
Uruguay,Primera División,2023,River Plate Montevideo,Progreso,2,0
Uruguay,Primera División,2023,River Plate Montevideo,Juventud de Las Piedras,2,1
Uruguay,Primera División,2023,River Plate Montevideo,Plaza Colonia,3,0
Uruguay,Primera División,2023,Montevideo Wanderers,Peñarol,0,3
Uruguay,Primera División,2023,Montevideo Wanderers,Nacional,1,2
Uruguay,Primera División,2023,Montevideo Wanderers,Defensor Sporting,2,0
Uruguay,Primera División,2023,Montevideo Wanderers,Liverpool de Montevideo,2,1
Uruguay,Primera División,2023,Montevideo Wanderers,Danubio,0,1
Uruguay,Primera División,2023,Montevideo Wanderers,River Plate Montevideo,1,1
Uruguay,Primera División,2023,Montevideo Wanderers,Boston River,4,3
Uruguay,Primera División,2023,Montevideo Wanderers,Cerro Largo,1,1
Uruguay,Primera División,2023,Montevideo Wanderers,Racing de Montevideo,0,1
Uruguay,Primera División,2023,Montevideo Wanderers,Montevideo City Torque,2,2
Uruguay,Primera División,2023,Montevideo Wanderers,Cerro,4,6
Uruguay,Primera División,2023,Montevideo Wanderers,Fénix,4,0
Uruguay,Primera División,2023,Montevideo Wanderers,Progreso,3,2
Uruguay,Primera División,2023,Montevideo Wanderers,Juventud de Las Piedras,3,1
Uruguay,Primera División,2023,Montevideo Wanderers,Plaza Colonia,1,0
Uruguay,Primera División,2023,Boston River,Peñarol,1,4
Uruguay,Primera División,2023,Boston River,Nacional,0,1
Uruguay,Primera División,2023,Boston River,Defensor Sporting,0,1
Uruguay,Primera División,2023,Boston River,Liverpool de Montevideo,2,0
Uruguay,Primera División,2023,Boston River,Danubio,1,4
Uruguay,Primera División,2023,Boston River,River Plate Montevideo,0,0
Uruguay,Primera División,2023,Boston River,Montevideo Wanderers,2,0
Uruguay,Primera División,2023,Boston River,Cerro Largo,3,0
Uruguay,Primera División,2023,Boston River,Racing de Montevideo,1,2
Uruguay,Primera División,2023,Boston River,Montevideo City Torque,3,1
Uruguay,Primera División,2023,Boston River,Cerro,2,2
Uruguay,Primera División,2023,Boston River,Fénix,4,2
Uruguay,Primera División,2023,Boston River,Progreso,1,0
Uruguay,Primera División,2023,Boston River,Juventud de Las Piedras,4,0
Uruguay,Primera División,2023,Boston River,Plaza Colonia,2,1
Uruguay,Primera División,2023,Cerro Largo,Peñarol,0,3
Uruguay,Primera División,2023,Cerro Largo,Nacional,0,2
Uruguay,Primera División,2023,Cerro Largo,Defensor Sporting,1,1
Uruguay,Primera División,2023,Cerro Largo,Liverpool de Montevideo,0,4
Uruguay,Primera División,2023,Cerro Largo,Danubio,1,1
Uruguay,Primera División,2023,Cerro Largo,River Plate Montevideo,1,1
Uruguay,Primera División,2023,Cerro Largo,Montevideo Wanderers,4,1
Uruguay,Primera División,2023,Cerro Largo,Boston River,0,0
Uruguay,Primera División,2023,Cerro Largo,Racing de Montevideo,5,0
Uruguay,Primera División,2023,Cerro Largo,Montevideo City Torque,1,0
Uruguay,Primera División,2023,Cerro Largo,Cerro,0,1
Uruguay,Primera División,2023,Cerro Largo,Fénix,1,0
Uruguay,Primera División,2023,Cerro Largo,Progreso,2,0
Uruguay,Primera División,2023,Cerro Largo,Juventud de Las Piedras,1,0
Uruguay,Primera División,2023,Cerro Largo,Plaza Colonia,2,1
Uruguay,Primera División,2023,Racing de Montevideo,Peñarol,0,0
Uruguay,Primera División,2023,Racing de Montevideo,Nacional,0,2
Uruguay,Primera División,2023,Racing de Montevideo,Defensor Sporting,1,0
Uruguay,Primera División,2023,Racing de Montevideo,Liverpool de Montevideo,2,1
